"Name","ipfsUrl","Accessories","Artifacts","Background","Body","Coins","Expression","Eyes","Hieroglyphs","Keyword","Mouth"
"Chia Friends #7823","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/7823.png",,,"Green","Cactus (Ded)",,"Wide Eyes","Zombie",,,"Yum"
"Chia Friends #7824","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/7824.png",,,"Nighttime & Sparkle","K32 (Steel)",,,"Closed","4",,"Jagged (Steel)"
"Chia Friends #7825","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/7825.png",,,"Dolphin & Watercolor","Marmot (Purple)",,,"Purple",,,"Snout (Small)"
"Chia Friends #7826","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/7826.png",,,"quexington","K32 (Steel)",,,"Yellow","2",,"Jagged (Steel)"
"Chia Friends #7827","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/7827.png",,,"Sea Foam & Glimmer","K32 (Steel)","Lightning",,"Closed","1",,"Happy (Steel)"
"Chia Friends #7828","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/7828.png",,,"Slate & Sparkle","Marmot (Brown)",,"Wide Eyes","Red",,,"Snout (Tooth)"
"Chia Friends #7829","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/7829.png",,,"Caribbean & Watercolor","Parakeet (Yellow)",,,"Vipers",,,"Beak (Small)"
"Chia Friends #783","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/783.png","Verdant",,"Sea Foam & Gradient","Starling",,,"Cyborg",,,"Beak (Long)"
"Chia Friends #7830","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/7830.png",,,"Caribbean","K32 (Steel)",,,"Green","4",,"Happy (Steel)"
"Chia Friends #7831","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/7831.png","Mohawk (Red)",,"Seashell","Broccoli (Green)",,"Wide Eyes","Blue",,,"Carne (Green)"
"Chia Friends #7832","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/7832.png",,"Ruby","Watermellon","K32 (Steel)",,,"Blue","1",,"Intercom (Steel)"
"Chia Friends #7833","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/7833.png",,,"Watermellon","Broccoli (Green)",,"Wide Eyes","3D Glasses",,,"Frown (Green)"
"Chia Friends #7834","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/7834.png",,,"Tundra & Watercolor","Cauliflower",,"Wide Eyes","Vipers",,,"Smile (Tan)"
"Chia Friends #7835","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/7835.png",,,"Caribbean & Sparkle","Marmot (Purple)",,,"Purple",,,"Snout (Sullen)"
"Chia Friends #7836","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/7836.png","Mohawk (Blue)",,"Nighttime & Gradient","Marmot (Green)",,"Wide Eyes","Cyborg",,,"Snout (Small)"
"Chia Friends #7837","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/7837.png","Bubblegum",,"Worm","K32 (Steel)","Lightning",,"Green","2",,"Sad (Steel)"
"Chia Friends #7838","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/7838.png",,,"Green Lasers & Shimmer","K32 (Jade)",,,"Seer (Jade)","4",,"Stoic"
"Chia Friends #7839","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/7839.png",,,"Slate","Broccoli (Purple)",,"Wide Eyes","3D Glasses",,,"Ooo (Purple)"
"Chia Friends #784","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/784.png","Bubblegum",,"Swamp","Parakeet (Yellow)",,,"Shades",,,"Beak (Small)"
"Chia Friends #7840","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/7840.png","Mohawk (Purple)",,"Opaa","Cactus (Green)",,"Angry (Green)","Green",,,"Happy (Green)"
"Chia Friends #7841","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/7841.png",,,"Cranberry","Starling",,,"Vipers",,,"Beak (Long)"
"Chia Friends #7842","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/7842.png",,"Emerald","Mint","Cactus (Red)",,"Squint (Purple)","Green",,,"Happy (Tan)"
"Chia Friends #7843","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/7843.png",,,"Grid","Broccoli (Gold)",,"Wide Eyes","Shades",,,"Carne (Gold)"
"Chia Friends #7844","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/7844.png",,,"Swamp & Gradient","Parakeet (Green)",,,"Blue",,,"Beak (Small)"
"Chia Friends #7845","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/7845.png",,"Fireball (Yellow)","Fern","Parakeet (Yellow)",,,"Cyborg",,,"Beak (Small)"
"Chia Friends #7846","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/7846.png",,"Halo","Worm","K32 (Steel)",,,"Green","3",,"Sad (Steel)"
"Chia Friends #7847","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/7847.png",,,"Seashell","K32 (Steel)",,,"Closed","2",,"Sad (Steel)"
"Chia Friends #7848","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/7848.png",,"Emerald","Mauve","Marmot (Purple)",,,"Cyborg",,,"Snout (Sullen)"
"Chia Friends #7849","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/7849.png",,"Emerald","Watermellon","Parakeet (Yellow)",,,"Enlightened",,,"Beak (Small)"
"Chia Friends #785","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/785.png",,,"Swamp & Gradient","K32 (Steel)",,"Relaxed (Steel)","Yellow","3",,"Sad (Steel)"
"Chia Friends #7850","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/7850.png",,,"Watermellon","Marmot (Gray)",,"Wide Eyes","Zombie",,,"Snout (Eating)"
"Chia Friends #7851","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/7851.png",,,"quexington & Watercolor","K32 (Steel)",,,"Yellow","2",,"Sad (Steel)"
"Chia Friends #7852","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/7852.png",,"Fireball (Yellow)","Nighttime","Marmot (Brown)",,,"Orange",,,"Snout (Eating)"
"Chia Friends #7853","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/7853.png",,,"Sand","Cucumber",,"Wide Eyes","Cyborg",,,"Ooo (Green)"
"Chia Friends #7854","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/7854.png",,"Fireball (Yellow)","Yak & Gradient","Broccoli (Green)",,"Wide Eyes","Vipers",,,"Frown (Green)"
"Chia Friends #7855","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/7855.png",,"Fireball (Yellow)","Gold Fish","Marmot (Green)",,"Wide Eyes","Laser Visor",,,"Snout (Drool)"
"Chia Friends #7856","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/7856.png",,"Sparkles","Banana","Marmot (Purple)",,,"Laser Visor",,,"Snout (Small)"
"Chia Friends #7857","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/7857.png",,,"Banana","Cactus (Green)",,"Wide Eyes","Ded",,,"Smile (Green)"
"Chia Friends #7858","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/7858.png","Mohawk (Green)",,"Watermellon","Marmot (Brown)",,,"Enlightened",,,"Snout (Hungry)"
"Chia Friends #7859","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/7859.png","Verdant",,"Cherry Blossom & Glimmer","Starling",,,"Laser Visor",,,"Beak (Long)"
"Chia Friends #786","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/786.png",,,"Mauve","Starling","Swirl",,"Cyborg",,,"Beak (Long)"
"Chia Friends #7860","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/7860.png",,"Emerald","Opaa","Marmot (Purple)",,,"Purple",,,"Snout (Drool)"
"Chia Friends #7861","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/7861.png",,,"Fern & Watercolor","K32 (Steel)",,"Relaxed (Steel)","Closed","4",,"Intercom (Steel)"
"Chia Friends #7862","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/7862.png",,,"Green & Watercolor","Starling","Infinity",,"Cyborg",,,"Beak (Long)"
"Chia Friends #7863","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/7863.png",,,"Sand","Cactus (Green)",,"Wide Eyes","Enlightened",,,"Frown (Green)"
"Chia Friends #7864","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/7864.png",,,"Dolphin","Cactus (Red)",,"Squint (Purple)","Purple",,,"Ooo (Purple)"
"Chia Friends #7865","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/7865.png",,,"Ice & Shimmer","Starling",,,"Laser Visor",,,"Beak (Long)"
"Chia Friends #7866","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/7866.png",,"Yoyo","Owl","Seal",,"Wide Eyes","Cyborg",,,"Snout (Small)"
"Chia Friends #7867","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/7867.png",,,"Watermellon & Sparkle","Seal",,"Squint (Purple)","Blue",,,"Snout (Small)"
"Chia Friends #7868","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/7868.png",,"Yoyo (Gold)","Mint","Broccoli (Green)",,"Wide Eyes","Shades",,,"Ooo (Green)"
"Chia Friends #7869","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/7869.png",,,"efishcent Red","Cactus (Ded)",,,"Zombie",,,"Yum"
"Chia Friends #787","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/787.png",,,"Caribbean","Marmot (Red)",,,"Orange",,,"Snout (Small)"
"Chia Friends #7870","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/7870.png","Mohawk (Red)",,"Sea Foam & Sparkle","Parakeet (Green)",,,"Green",,,"Beak (Small)"
"Chia Friends #7871","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/7871.png",,"Emerald","Ice","Marmot (Green)",,,"Enlightened",,,"Snout (Sullen)"
"Chia Friends #7872","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/7872.png",,,"Dolphin & Gradient","Cactus (Red)",,"Wide Eyes","3D Glasses",,,"Frown (Purple)"
"Chia Friends #7873","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/7873.png",,,"Lilac","Cucumber",,,"Vipers",,,"Frown (Green)"
"Chia Friends #7874","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/7874.png",,"Fish","Grid","K32 (Amethyst)",,,"Seer (Amethyst)","2",,"Stoic"
"Chia Friends #7875","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/7875.png","Mohawk (Purple)",,"Swamp","Cauliflower",,,"Orange",,,"Smile (Tan)"
"Chia Friends #7876","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/7876.png","Flower (Yellow)","Fireball (Green)","Dan Perrywinkle","Starling",,,"Green",,,"Beak (Long)"
"Chia Friends #7877","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/7877.png",,,"Fern","Broccoli (Green)",,"Squint (Green)","Blue",,,"Carne (Green)"
"Chia Friends #7878","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/7878.png",,,"Gold Fish & Sparkle","Parakeet (Yellow)",,,"3D Glasses",,,"Beak (Small)"
"Chia Friends #7879","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/7879.png",,,"Squash","Parakeet (Yellow)",,,"Orange",,,"Beak (Small)"
"Chia Friends #788","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/788.png",,,"Watermellon","K32 (Steel)",,,"Closed","3",,"Jagged (Steel)"
"Chia Friends #7880","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/7880.png",,"Fireball (Yellow)","Sand","Cactus (Red)",,,"Rainbow",,,"Frown (Tan)"
"Chia Friends #7881","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/7881.png","Bubblegum",,"Watermellon & Watercolor","Marmot (Purple)",,,"Cyborg",,,"Snout (Small)"
"Chia Friends #7882","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/7882.png",,,"Cherry Blossom","Cactus (Ded)",,"Wide Eyes","Zombie",,,"Yum"
"Chia Friends #7883","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/7883.png","Bow (Purple)",,"Mauve","Starling",,,"Green",,,"Beak (Long)"
"Chia Friends #7884","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/7884.png",,,"Sea Foam","Marmot (Gray)",,,"Green",,,"Snout (Hungry)"
"Chia Friends #7885","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/7885.png",,,"Sky & Glimmer","Starling",,,"Purple",,,"Beak (Long)"
"Chia Friends #7886","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/7886.png",,,"Yak","Marmot (Red)",,,"Cyborg",,,"Snout (Sullen)"
"Chia Friends #7887","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/7887.png",,"Yoyo","Ice","Marmot (Purple)",,,"3D Glasses",,,"Snout (Drool)"
"Chia Friends #7888","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/7888.png",,,"Swamp","Parakeet (Yellow)",,,"Rainbow",,,"Beak (Small)"
"Chia Friends #7889","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/7889.png",,,"Watermellon","Marmot (Green)",,,"Laser Visor",,,"Snout (Sullen)"
"Chia Friends #789","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/789.png",,,"quexington","Cactus (Green)",,"Wide Eyes","Shades",,,"Ooo (Green)"
"Chia Friends #7890","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/7890.png",,,"Cranberry","Starling",,,"Purple",,,"Beak (Long)"
"Chia Friends #7891","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/7891.png",,"Emerald","Sea Foam & Gradient","Cactus (Green)",,"Squint (Green)","Green",,,"Carne (Green)"
"Chia Friends #7892","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/7892.png","Bow (Green)",,"Tundra","Cactus (Red)",,,"Rainbow",,,"Frown (Purple)"
"Chia Friends #7893","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/7893.png",,,"Mint & Glimmer","Marmot (Red)",,"Wide Eyes","Rainbow",,,"Snout (Sullen)"
"Chia Friends #7894","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/7894.png","Flower (Yellow)",,"quexington","Parakeet (Green)",,,"Cyborg",,,"Beak (Small)"
"Chia Friends #7895","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/7895.png",,"Emerald","Slate","Broccoli (Green)",,"Wide Eyes","3D Glasses",,,"Ooo (Green)"
"Chia Friends #7896","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/7896.png",,,"Swamp","Cactus (Purple)",,,"Vipers",,,"Ooo (Purple)"
"Chia Friends #7897","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/7897.png",,,"Ice","Broccoli (Green)",,,"Enlightened",,,"Ooo (Green)"
"Chia Friends #7898","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/7898.png",,,"Tundra","Marmot (Brown)",,,"Rainbow",,,"Snout (Small)"
"Chia Friends #7899","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/7899.png",,,"Monster","Cactus (Albino)",,,"Vipers",,,"Ooo (Tan)"
"Chia Friends #79","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/79.png",,,"Jellyfish","Marmot (Brown)",,,"Purple",,,"Snout (Sullen)"
"Chia Friends #790","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/790.png","Mohawk (Green)",,"Tuna","Starling",,,"Cyborg",,,"Beak (Long)"
"Chia Friends #7900","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/7900.png","Flower (Red)",,"Banana","Cactus (Green)",,,"Ded",,,"Ooo (Green)"
"Chia Friends #7901","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/7901.png",,,"quexington","Parakeet (Green)",,,"Green",,,"Beak (Small)"
"Chia Friends #7902","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/7902.png",,,"Mint","Parakeet (Green)","Key",,"Blue",,,"Beak (Small)"
"Chia Friends #7903","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/7903.png",,,"Tundra & Sparkle","Marmot (Blue)","Squiggle","Wide Eyes","Orange",,,"Snout (Eating)"
"Chia Friends #7904","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/7904.png",,,"Lilac & Glimmer","Parakeet (Green)",,,"Zombie",,,"Beak (Small)"
"Chia Friends #7905","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/7905.png",,,"Watermellon & Shimmer","Marmot (Brown)",,,"Cyborg",,,"Snout (Tooth)"
"Chia Friends #7906","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/7906.png",,,"Flax","Parakeet (Yellow)",,,"Laser Visor",,,"Beak (Small)"
"Chia Friends #7907","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/7907.png",,,"Swamp","K32 (Steel)",,,"Green","2",,"Sad (Steel)"
"Chia Friends #7908","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/7908.png",,"Fireball (Blue)","Watermellon","Parakeet (Yellow)",,,"Cyborg",,,"Beak (Small)"
"Chia Friends #7909","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/7909.png",,,"Ice & Glimmer","Marmot (Blue)",,,"Purple",,,"Snout (Sullen)"
"Chia Friends #791","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/791.png",,,"Dolphin","Cactus (Purple)",,"Wide Eyes","Shades",,,"Happy (Purple)"
"Chia Friends #7910","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/7910.png",,,"Yak","K32 (Steel)",,"Relaxed (Steel)","Yellow","4",,"Sad (Steel)"
"Chia Friends #7911","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/7911.png",,,"Fern","Parakeet (Yellow)","Leaf",,"Laser Visor",,,"Beak (Small)"
"Chia Friends #7912","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/7912.png",,"Emerald","Monster","Marmot (Red)",,,"Laser Visor",,,"Snout (Eating)"
"Chia Friends #7913","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/7913.png",,,"Lilac & Sparkle","Marmot (Brown)",,"Wide Eyes","Zombie",,,"Snout (Small)"
"Chia Friends #7914","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/7914.png",,,"Thistle","Starling",,,"Zombie",,,"Beak (Long)"
"Chia Friends #7915","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/7915.png",,,"Ice","K32 (Steel)",,,"Green","4",,"Jagged (Steel)"
"Chia Friends #7916","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/7916.png",,"Emerald","Swamp","Starling",,,"Laser Visor",,,"Beak (Long)"
"Chia Friends #7917","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/7917.png",,,"Dan Perrywinkle & Sparkle","Marmot (Brown)","Star",,"Shades",,,"Snout (Eating)"
"Chia Friends #7918","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/7918.png",,,"Jellyfish & Gradient","Cactus (Green)",,"Squint (Green)","Blue",,,"Smile (Green)"
"Chia Friends #7919","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/7919.png",,,"Mauve & Glimmer","Starling",,,"Blue",,,"Beak (Long)"
"Chia Friends #792","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/792.png",,"Snow","Green & Gradient","Parakeet (Green)",,,"Orange",,,"Beak (Small)"
"Chia Friends #7920","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/7920.png",,,"Caribbean","Marmot (Brown)",,,"Cyborg",,,"Snout (Tooth)"
"Chia Friends #7921","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/7921.png",,"Yoyo","Ice","Starling",,,"Rainbow",,,"Beak (Long)"
"Chia Friends #7922","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/7922.png",,,"Nighttime & Gradient","Broccoli (Green)",,"Wide Eyes","Ded",,,"Happy (Green)"
"Chia Friends #7923","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/7923.png",,,"Slate","Marmot (Purple)","Leaf","Wide Eyes","Purple",,,"Snout (Drool)"
"Chia Friends #7924","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/7924.png",,"Fish","Dan Perrywinkle & Gradient","Marmot (Blue)",,,"Cyborg",,,"Snout (Small)"
